date,count,total_count,ratio
"2015-06-21","0","29956","0"
"2015-06-22","9","48152","0.00018690812427313508"
"2015-06-23","4","50512","7.918910357934748e-05"
"2015-06-24","2","52049","3.8425329977521184e-05"
"2015-06-25","4","51492","7.768197001475957e-05"
"2015-06-26","1","49658","2.013774215634943e-05"
"2015-06-27","3","30008","9.997334044254865e-05"
"2015-06-28","1","30408","3.288608260983952e-05"
"2015-06-29","5","51169","9.77154136293459e-05"
"2015-06-30","1","53309","1.8758558592357762e-05"
"2015-07-01","0","52575","0"
"2015-07-02","2","50614","3.9514758762397756e-05"
"2015-07-03","3","40674","7.37571913261543e-05"
"2015-07-04","1","29063","3.4408010184771016e-05"
"2015-07-05","1","30960","3.229974160206718e-05"
"2015-07-06","1","48886","2.0455754203657487e-05"
"2015-07-07","3","50904","5.8934464875058934e-05"
"2015-07-08","20","52198","0.0003831564427755853"
"2015-07-09","13","49825","0.0002609131961866533"
"2015-07-10","5","48839","0.00010237719855033886"
"2015-07-11","1","30925","3.2336297493936946e-05"
"2015-07-12","3","31390","9.55718381650207e-05"
"2015-07-13","49","51477","0.0009518814227713348"
"2015-07-14","33","49178","0.0006710317621700761"
"2015-07-15","12","52094","0.0002303528237416977"
"2015-07-16","12","51806","0.00023163340153650155"
"2015-07-17","3","46220","6.490696668109043e-05"
"2015-07-18","1","27168","3.680800942285041e-05"
"2015-07-19","6","28278","0.0002121790791427965"
"2015-07-20","6","48702","0.00012319822594554638"
"2015-07-21","8","49952","0.00016015374759769378"
"2015-07-22","7","52114","0.00013432091184710442"
"2015-07-23","7","51227","0.00013664669022195327"
"2015-07-24","7","46573","0.00015030167693728125"
"2015-07-25","2","29784","6.715014773032501e-05"
"2015-07-26","1","31102","3.2152273165712814e-05"
"2015-07-27","6","47843","0.0001254101958489225"
"2015-07-28","12","50515","0.00023755320201920222"
"2015-07-29","2","49062","4.076474664709959e-05"
"2015-07-30","19","45592","0.00041673977890858044"
"2015-07-31","13","47765","0.00027216581178687323"
"2015-08-01","3","29991","0.00010003000900270081"
"2015-08-02","3","30185","9.938711280437304e-05"
"2015-08-03","9","47278","0.00019036338254579298"
"2015-08-04","10","49404","0.00020241276010039673"
"2015-08-05","12","50560","0.00023734177215189873"
"2015-08-06","28","51517","0.0005435099093503116"
"2015-08-07","16","48097","0.00033266108073268604"
"2015-08-08","0","30107","0"
"2015-08-09","6","30961","0.00019379219017473596"
"2015-08-10","18","48623","0.0003701951751228842"
"2015-08-11","7","50015","0.00013995801259622114"
"2015-08-12","18","51726","0.00034798747245099175"
"2015-08-13","3","50561","5.9334269496252054e-05"
"2015-08-14","2","47459","4.214163804547083e-05"
"2015-08-15","8","31366","0.00025505324236434353"
"2015-08-16","2","30709","6.512748705591195e-05"
"2015-08-17","1","48754","2.0511137547688395e-05"
"2015-08-18","5","50116","9.976853699417352e-05"
"2015-08-19","2","50322","3.974404832876277e-05"
"2015-08-20","3","50964","5.88650812338121e-05"
"2015-08-21","6","47886","0.0001252975817566721"
"2015-08-22","2","29868","6.696129637069774e-05"
"2015-08-23","1","31275","3.19744204636291e-05"
"2015-08-24","0","49297","0"
"2015-08-25","1","50864","1.9660270525322427e-05"
"2015-08-26","8","50836","0.00015736879376819577"
"2015-08-27","65","52723","0.0012328585247425223"
"2015-08-28","9","47355","0.00019005384859043396"
"2015-08-29","4","31142","0.00012844390212574659"
"2015-08-30","4","32130","0.00012449424214130097"
"2015-08-31","4","50436","7.930843048616068e-05"
"2015-09-01","8","50732","0.0001576913979342427"
"2015-09-02","1","52463","1.9061052551321885e-05"
"2015-09-03","6","52194","0.00011495574203931487"
"2015-09-04","4","46978","8.514623866490698e-05"
"2015-09-05","0","31614","0"
"2015-09-06","0","30885","0"
"2015-09-07","5","42847","0.0001166942843139543"
"2015-09-08","28","52509","0.0005332419204326877"
"2015-09-09","1","53700","1.86219739292365e-05"
"2015-09-10","3","54307","5.524149741285654e-05"
"2015-09-11","0","50065","0"
"2015-09-12","3","32916","9.11410864017499e-05"
"2015-09-13","2","33873","5.9044076403034865e-05"
"2015-09-14","8","53627","0.00014917858541406382"
"2015-09-15","5","59960","8.338892595063375e-05"
"2015-09-16","4","59040","6.775067750677507e-05"
"2015-09-17","1","58843","1.6994374861920703e-05"
"2015-09-18","0","53281","0"
"2015-09-19","2","34718","5.7607005011809435e-05"
"2015-09-20","3","36676","8.1797360671829e-05"
"2015-09-21","8","56500","0.0001415929203539823"
"2015-09-22","7","57461","0.00012182175736586555"
"2015-09-23","4","57187","6.994596674069281e-05"
"2015-09-24","5","57375","8.714596949891067e-05"
"2015-09-25","5","53960","9.266123054114158e-05"
"2015-09-26","4","35526","0.00011259359342453415"
"2015-09-27","9","34871","0.0002580941183218147"
"2015-09-28","11","57117","0.00019258714568342174"
"2015-09-29","8","58930","0.00013575428474461225"
"2015-09-30","14","60371","0.00023189942190786968"
"2015-10-01","10","58053","0.00017225638640552598"
"2015-10-02","13","53305","0.00024387956101679017"
"2015-10-03","4","35881","0.00011147961316574231"
"2015-10-04","0","36922","0"
"2015-10-05","13","57939","0.00022437391049206923"
"2015-10-06","6","59283","0.00010120945296290674"
"2015-10-07","32","60115","0.0005323130666223073"
"2015-10-08","3","59635","5.030602833906263e-05"
"2015-10-09","4","54031","7.403157446650996e-05"
"2015-10-10","2","35983","5.558180251785565e-05"
"2015-10-11","0","35855","0"
"2015-10-12","2","53617","3.730160210381036e-05"
"2015-10-13","3","57820","5.188516084399862e-05"
"2015-10-14","2","58139","3.4400316482911644e-05"
"2015-10-15","5","59379","8.420485356775964e-05"
"2015-10-16","5","53942","9.269215082866783e-05"
"2015-10-17","1","34831","2.8710057133013694e-05"
"2015-10-18","1","35400","2.824858757062147e-05"
"2015-10-19","3","57118","5.252284743863581e-05"
"2015-10-20","3","58558","5.123125789815226e-05"
"2015-10-21","5","58302","8.576035127439882e-05"
"2015-10-22","9","57156","0.00015746378332983415"
"2015-10-23","4","53276","7.508071176514753e-05"
